LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6673171.449;25497079.31;1;2010
MA;6672273.345;25496766.28;1;2010
MA;6672212.81;25496948.24;1;2010
MA;6674706.056;25496436.4;1;2010
MA;6673036.184;25496049.69;1;2010
MA;6672855.664;25497622.25;1;2010
MA;6675654.142;25501668.38;1;2010
MA;6672785.56;25497422.23;1;2010
MA;6680463.228;25494559.73;1;2010
JK;6674738.507;25495657.88;1;2010
MA;6677031.747;25507500.87;1;2010
MA;6671939.873;25496692.32;1;2010
MA;6682077.279;25503469.13;1;2010
MA;6681168.161;25496851.98;1;2010
MA;6682177.543;25500372.88;1;2010
MA;6678793.437;25496982;1;2010
MA;6673035.971;25496108.73;1;2010
MA;6681241.38;25500818.56;1;2010
MA;6672446.708;25496047.53;1;2010
MA;6674176.196;25497741.36;1;2010
MA;6671650.909;25496402.87;2;2010
MA;6675961.48;25494340.93;1;2010
MA;6684072.841;25511954.86;1;2010
MA;6676543.291;25497986.86;1;2010
MA;6679903.207;25504409.67;1;2010
MA;6677260.786;25503236.85;1;2010
JK;6678984.533;25503550.87;2;2010
MA;6683529.449;25499084;1;2010
MA;6680341.073;25494524.41;1;2010
MA;6675250.266;25498016.03;1;2010
MA;6677329.059;25496937.32;1;2010
MA;6672418.479;25495346.9;1;2010
MA;6672276.33;25495213.11;1;2010
MA;6672262.729;25492187.43;1;2010
JK;6679763.021;25504340.86;2;2010
MA;6679218.009;25500490.62;1;2010
MA;6677440.671;25496954.95;1;2010
JK;6679766.233;25491505.74;3;2010
MA;6676137.773;25497120.53;1;2010
MA;6677830.983;25497682.64;2;2010
MA;6679926.631;25501716.02;1;2010
MA;6680634.944;25494282.34;1;2010
MA;6672640.816;25496145.72;1;2010
JK;6673670.308;25497228.31;2;2010
JK;6674477.708;25497421;1;2010
JK;6680964.865;25505990.65;1;2010
MA;6680957.775;25505987.86;1;2010
JK;6678308.306;25492762.77;2;2010
MA;6675742.104;25494498.68;1;2010
MA;6673680.337;25497229.01;1;2010
MA;6675389.911;25494533.37;2;2010
MA;6673447.909;25496328.42;1;2010
MA;6678498.169;25502394.78;1;2010
MA;6673579.219;25495641.96;1;2010
MA;6685561.567;25501581.2;2;2010
MA;6672838.849;25497661.79;1;2010
MA;6678882.246;25507472.81;1;2010
MA;6673611.311;25502746;1;2010
MA;6673561.223;25495642.51;1;2010
MA;6683617.756;25511237.12;1;2010
MA;6672591.88;25496809.67;1;2010
MA;6674330.647;25491741.52;1;2010
MA;6675581.641;25501983.8;1;2010
MA;6675113.003;25494509.74;1;2010
MA;6671062.289;25493686.8;1;2010
MA;6680957.673;25500141.67;1;2010
MA;6680403.9;25504816.79;1;2010
MA;6679074.618;25509593.53;1;2010
MA;6672989.573;25497748.29;1;2010
MA;6685593.328;25501968.51;1;2010
MA;6674976.869;25498438.6;1;2010
JK;6681950.049;25500625.95;2;2010
MA;6673713.174;25497751.38;1;2010
MA;6672919.229;25497276.08;1;2010
