alue;vaesto2018
Uusimaa;1671024
Varsinais-Suomi;478582
Satakunta;218624
Kanta-Häme;171364
Pirkanmaa;515095
Päijät-Häme;200629
Kymenlaakso;173388
Etelä-Karjala;128756
Etelä-Savo;144615
Pohjois-Savo;245602
Pohjois-Karjala;162240
Keski-Suomi;275521
Etelä-Pohjanmaa;189715
Pohjanmaa;180794
Keski-Pohjanmaa;68437
Pohjois-Pohjanmaa;412161
Kainuu;73061
Lappi;178522
Ahvenanmaa - Åland;29789
